Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.86,0.55,0.88,0.84,0.44
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.89,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.51,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':25,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.81,0.81,0.82,0.52,0.9,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.82,0.83,0.82,0.52,0.89,0.82,0.38,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.55,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':101,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.04,0.8,0.75,0.85,0.55,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.89,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.54,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.89,0.83,0.4,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.8,0.75,0.85,0.54,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.83,0.85,0.82,0.53,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.89,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.88,0.84,0.43
Ensemble_Imbalance,All_Features,Balanced Bagging,0.84,0.85,0.82,0.54,0.9,0.82,0.39,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':31,'random_state':42,'replacement':True,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.8,0.75,0.85,0.54,0.88,0.84,0.43
